# galaxy_id redshift_true ra dec mag_u_obs magerr_u_obs mag_g_obs magerr_g_obs mag_r_obs magerr_r_obs mag_i_obs magerr_i_obs mag_z_obs magerr_z_obs mag_y_obs magerr_y_obs
1.056386052200000000e+10 8.219056129455566406e-01 6.664585224491939641e+01 -4.095689235899463654e+01 2.566764068603515625e+01 3.132083117961883545e-01 2.557978630065917969e+01 6.065697222948074341e-02 2.518117523193359375e+01 3.884943202137947083e-02 2.418039131164550781e+01 2.286785468459129333e-02 2.408637619018554688e+01 3.656286746263504028e-02 2.424808311462402344e+01 9.671758860349655151e-02
1.193920211500000000e+10 8.655686378479003906e-01 6.746549575948949951e+01 -4.498954866684465514e+01 2.552169418334960938e+01 2.739087343215942383e-01 2.565742683410644531e+01 6.510303914546966553e-02 2.470286178588867188e+01 2.536289766430854797e-02 2.359157943725585938e+01 1.397593691945075989e-02 2.323249626159667969e+01 1.734096743166446686e-02 2.310804557800292969e+01 3.429527953267097473e-02
1.056303005600000000e+10 5.515174865722656250e-01 6.533507043663909997e+01 -4.209767772795228780e+01 2.490447616577148438e+01 1.554897129535675049e-01 2.416890525817871094e+01 1.742007397115230560e-02 2.299503517150878906e+01 7.288138382136821747e-03 2.239584732055664062e+01 6.699949037283658981e-03 2.222447967529296875e+01 8.344207890331745148e-03 2.210428237915039062e+01 1.447138842195272446e-02
7.063671912000000000e+09 7.739779949188232422e-01 6.655959648159841890e+01 -3.548461983574011214e+01 2.566389083862304688e+01 3.121299743652343750e-01 2.528032112121582031e+01 4.621809720993041992e-02 2.471777153015136719e+01 2.569738216698169708e-02 2.384976959228515625e+01 1.724576018750667572e-02 2.355941009521484375e+01 2.292078733444213867e-02 2.344764709472656250e+01 4.658447951078414917e-02
7.062617852000000000e+09 3.069328069686889648e-01 6.587997241452198693e+01 -3.678086951414006478e+01 2.509644508361816406e+01 1.854013800621032715e-01 2.421680450439453125e+01 1.813025772571563721e-02 2.331433105468750000e+01 8.646000176668167114e-03 2.300969886779785156e+01 9.191324003040790558e-03 2.282437705993652344e+01 1.250668335705995560e-02 2.274496650695800781e+01 2.484982460737228394e-02
6.068499648000000000e+09 1.544374942779541016e+00 6.456873644026327952e+01 -3.469128827968241779e+01 2.557840919494628906e+01 2.885570526123046875e-01 2.523910903930664062e+01 4.452760890126228333e-02 2.503200149536132812e+01 3.397440537810325623e-02 2.453921318054199219e+01 3.138223290443420410e-02 2.406041908264160156e+01 3.572008386254310608e-02 2.337891578674316406e+01 4.377289861440658569e-02
1.062562977300000000e+10 6.127495765686035156e-01 6.848158524615159592e+01 -4.231134397902517463e+01 2.618781280517578125e+01 5.052469968795776367e-01 2.599129104614257812e+01 8.832011371850967407e-02 2.518802261352539062e+01 3.909020498394966125e-02 2.468972396850585938e+01 3.591018542647361755e-02 2.454188346862792969e+01 5.522190779447555542e-02 2.449338150024414062e+01 1.211246252059936523e-01
8.003076218000000000e+09 1.140053749084472656e+00 6.418062628902589495e+01 -3.734404648750457767e+01 2.452208709716796875e+01 1.095916330814361572e-01 2.437038040161132812e+01 2.064729854464530945e-02 2.409925079345703125e+01 1.518640760332345963e-02 2.386644935607910156e+01 1.748775318264961243e-02 2.313084602355957031e+01 1.594251208007335663e-02 2.294712066650390625e+01 2.970629371702671051e-02
8.881509296000000000e+09 1.620711088180541992e+00 6.205883490738702335e+01 -3.871950043976538325e+01 2.636974334716796875e+01 5.972836017608642578e-01 2.548116874694824219e+01 5.545204505324363708e-02 2.545620155334472656e+01 4.983102530241012573e-02 2.472887039184570312e+01 3.719676658511161804e-02 2.427940559387207031e+01 4.351598769426345825e-02 2.387762069702148438e+01 6.890451163053512573e-02
7.005931838000000000e+09 1.577444791793823242e+00 6.199962773047014508e+01 -3.580235722405778631e+01 2.457983779907226562e+01 1.155292466282844543e-01 2.467824554443359375e+01 2.697608806192874908e-02 2.483013916015625000e+01 2.837854996323585510e-02 2.467385292053222656e+01 3.540176898241043091e-02 2.444988632202148438e+01 5.079037323594093323e-02 2.412789916992187500e+01 8.663243055343627930e-02
1.056445638500000000e+10 9.396028518676757812e-01 6.623471595446186200e+01 -4.227696494290920270e+01 2.493903923034667969e+01 1.604918986558914185e-01 2.476481437683105469e+01 2.911805920302867889e-02 2.351283454895019531e+01 9.803044609725475311e-03 2.254324340820312500e+01 7.129369303584098816e-03 2.179145622253417969e+01 6.758095230907201767e-03 2.147151565551757812e+01 9.154826402664184570e-03
7.075589295000000000e+09 2.035921096801757812e+00 6.566663542717986957e+01 -3.573850433433085527e+01 2.373236465454101562e+01 5.348277837038040161e-02 2.357025527954101562e+01 1.094091311097145081e-02 2.365828514099121094e+01 1.083695329725742340e-02 2.378935432434082031e+01 1.640231907367706299e-02 2.380756378173828125e+01 2.850355580449104309e-02 2.379821205139160156e+01 6.408552825450897217e-02
1.131252683300000000e+10 1.869866847991943359e-01 6.716769526380618061e+01 -4.354767664821026329e+01 2.596792602539062500e+01 4.127550423145294189e-01 2.484003067016601562e+01 3.112710453569889069e-02 2.438891410827636719e+01 1.932588405907154083e-02 2.417557716369628906e+01 2.277220226824283600e-02 2.401599693298339844e+01 3.432470187544822693e-02 2.394131278991699219e+01 7.303467392921447754e-02
8.877513128000000000e+09 1.019122362136840820e+00 6.384578772850093031e+01 -3.845678552408593021e+01 2.745598602294921875e+01 1.623109698295593262e+00 2.641490364074707031e+01 1.302192807197570801e-01 2.562677574157714844e+01 5.819714069366455078e-02 2.483565330505371094e+01 4.095577448606491089e-02 2.408258247375488281e+01 3.643857315182685852e-02 2.393446159362792969e+01 7.257877290248870850e-02
7.065023505000000000e+09 1.022691726684570312e+00 6.732021073365780239e+01 -3.577072994559222963e+01 2.462155532836914062e+01 1.200190186500549316e-01 2.506746864318847656e+01 3.814608231186866760e-02 2.483732032775878906e+01 2.855992503464221954e-02 2.451942062377929688e+01 3.083315305411815643e-02 2.409863090515136719e+01 3.696803748607635498e-02 2.399228668212890625e+01 7.651941478252410889e-02
